PromptID,PMCID,Outcome,Intervention,Comparator
6911,4942591,resting heart rate (RHR),exercise intervention with Football Fitness,before intervention
6914,4942591,Yo-Yo Intermittent Endurance test level 1 (Yo-Yo IE1) performance,exercise intervention with Football Fitness,before intervention
6915,4411165,effects of cryostimulation on the ANS,"whole-body to cold (whole-body cryostimulation, WBC)","whole-body except the head (partial-body cryostimulation, PBC)"
6917,4411165,Tskin of the head,"whole-body to cold (whole-body cryostimulation, WBC)","whole-body except the head (partial-body cryostimulation, PBC)"
6922,5636096,portosystemic encephalopathy (PSE) test,anti-HE intervention (lactulose+branched-chain amino acids+rifaximin),triple placebos
6925,2936735,Weaning of ventilation - effect of multimodality chest physiotherapy in ICUs for prevention of VAP (ventilator-associated pneumonia) in intubated and mechanically ventilated patients,positioning and chest wall vibrations in addition to MH plus suctioning (multimodality chest physiotherapy),Manual hyperinflation (MH) and suctioning
6927,2936735,mortality rates - effect of multimodality chest physiotherapy in ICUs for prevention of VAP (ventilator-associated pneumonia) in intubated and mechanically ventilated patients,positioning and chest wall vibrations in addition to MH plus suctioning (multimodality chest physiotherapy),Manual hyperinflation (MH) and suctioning
6928,2936735,number of days of ventilation - effect of multimodality chest physiotherapy in ICUs for prevention of VAP (ventilator-associated pneumonia) in intubated and mechanically ventilated patients,positioning and chest wall vibrations in addition to MH plus suctioning (multimodality chest physiotherapy),Manual hyperinflation (MH) and suctioning
6931,5760819,recoveries of MDL and IS,MDL (a main metabolite of nicergoline),internal standard (IS) - Tizanidine hydrochloride
6936,5963741,E2 (estradiol) levels,Mild moxibustion,control - vitamin E soft capsules
6937,4968528,25(OH) vitamin D concentration,diabetes mellitus patients without neuropathy (GI),control - healthy (GIII)
6938,4968528,IL-17 levels,diabetic peripheral neuropathy patients (GII),diabetes mellitus patients without neuropathy (GI)
6941,4968528,IL-13 levels,diabetic peripheral neuropathy patients (GII),diabetes mellitus patients without neuropathy (GI)
6946,5099199,frequencies of adverse effects except nausea,"S10 (lansoprazole and amoxicillin for the first 5 days, followed by lansoprazole, clarithromycin and metronidazole for another 5 days)","T14 (lansoprazole, amoxicillin and clarithromycin for 14 days)"
6947,4258972,complain of mild pain,midazolam (Group 1),normal saline (Group 3) (control)
6949,4258972,consumption of propofol,midazolam (Group 1),clonidine (Group 2)
6950,4258972,consumption of propofol,midazolam (Group 1),normal saline (Group 3) (control)
6951,4258972,consumption of propofol,clonidine (Group 2),normal saline (Group 3) (control)
6953,4241940,Body weight of rats,Balloon-induced exercise (BIE),Balloon-induced control (BIC)
6955,4241940,effect of endurance exercise on endothelial dependent relaxation in balloon-injured rat,Balloon-induced exercise (BIE),Balloon-induced control (BIC)
6956,4241940,effect of endurance exercise on neointimal formation in balloon-injured rat,Balloon-induced exercise (BIE),Balloon-induced control (BIC)
6958,3407716,mean fluid accumulation on day 1,drain group,no-drain group
6962,5756602,nursing satisfaction scores,observation group (same treatment combined with mild hypothermia treatment and nursing),control group (routine treatment and nursing)
6963,5756602,total effective rate,observation group (same treatment combined with mild hypothermia treatment and nursing),control group (routine treatment and nursing)
6964,5756602,mortality,observation group (same treatment combined with mild hypothermia treatment and nursing),control group (routine treatment and nursing)
6965,5756602,28 d neonatal behavioral neurological assessment (NBNA),observation group (same treatment combined with mild hypothermia treatment and nursing),control group (routine treatment and nursing)
6967,5925011,FD analysis,intervention group with added low-intensity power ultrasound treatment (LIPUS),standard implant protocol treatment
6977,4894062,GM Shannon diversity index,T2D (type 2 diabetes) patients,healthy controls
6978,4894062,load of several potentially pro-inflammatory GM components,T2D (type 2 diabetes) patients,healthy controls
6980,5412886,more effective for treating seasonal allergic conjunctivitis (SAC) on day 15,emedastine difumarate 0.05% twice a day,loteprednol etabonate (LE) 0.5% 4 times a day
6981,5412886,more effective for treating seasonal allergic conjunctivitis (SAC) on day 8,"olopatadine hydrochloride 0.1% twice a day, emedastine difumarate 0.05% twice a day, or loteprednol etabonate (LE) 0.5% 4 times a day",control group received artificial tears (AT) 0.5% 3 times a day
6982,5412886,more effective for treating seasonal allergic conjunctivitis (SAC) on day 15,"olopatadine hydrochloride 0.1% twice a day, emedastine difumarate 0.05% twice a day, or LE 0.5% 4 times a day, respectively",control group received artificial tears (AT) 0.5% 3 times a day
6985,3169777,unexpected adverse events,"macitentan doses of 0.2, 1, 5, 25, 100, 300 and 600 mg",placebo
6986,3169777,Plasma endothelin-1 concentrations,macitentan dose of 600 mg,placebo
6989,3169777,adverse event profile,"macitentan doses of 0.2, 1, 5, 25, 100, 300 mg",placebo
6990,4059969,Function Score - conventional total knee arthroplasty (TKA),Patients operated with fluoroscopy assistance (F),Patients operated with no fluoroscopy assistance (C)
6991,4059969,risk of malalignment - conventional total knee arthroplasty (TKA),Patients operated with fluoroscopy assistance (F),Patients operated with no fluoroscopy assistance (C)
6992,4059969,operative time - conventional total knee arthroplasty (TKA),Patients operated with fluoroscopy assistance (F),Patients operated with no fluoroscopy assistance (C)
6994,4059969,flexion at 1 year - conventional total knee arthroplasty (TKA),Patients operated with fluoroscopy assistance (F),Patients operated with no fluoroscopy assistance (C)
6995,4059969,Knee Score - conventional total knee arthroplasty (TKA),Patients operated with fluoroscopy assistance (F),Patients operated with no fluoroscopy assistance (C)
6996,4235563,before intervention in MI (Myocardial Infarction) patients,educated through face to face training and an educational booklet,control group did not receive any intervention
6997,4235563,anxiety in MI (Myocardial Infarction) patients - 3 months after discharge,educated through face to face training and an educational booklet,control group did not receive any intervention
6998,4235563,depression in MI (Myocardial Infarction) patients - 3 months after discharge,educated through face to face training and an educational booklet,control group did not receive any intervention
6999,4235563,anxiety in MI (Myocardial Infarction) patients - at discharge,educated through face to face training and an educational booklet,control group did not receive any intervention
7002,4377530,rates of urinary tract infection (UTI) in rabbits,Nelatone catheter,Foley catheter
7004,2853089,understanding clinical trials - Breast cancer patients participating in a trial on the efficacy of Trastuzumab,Internet group (who received the letter of invitation),control group (who did not receive it)
7005,2853089,declared uptake of the trial results - Breast cancer patients participating in a trial on the efficacy of Trastuzumab,Internet group (who received the letter of invitation),control group (who did not receive it)
7006,2853089,accurately understanding the results - Breast cancer patients participating in a trial on the efficacy of Trastuzumab,Internet group (who received the letter of invitation),control group (who did not receive it)
7008,2853089,understanding the treatment received - Breast cancer patients participating in a trial on the efficacy of Trastuzumab,Internet group (who received the letter of invitation),control group (who did not receive it)
7011,4845107,low‐density lipoprotein‐particle number,combination ezetimibe/simvastatin 10/20mg (ES10/20),rosuvastatin 10mg (R10)
7013,4845107,apoA‐I levels,combination ezetimibe/simvastatin 10/20mg (ES10/20),rosuvastatin 10mg (R10)
7014,4845107,apoA‐I levels,combination ezetimibe/simvastatin 10/20mg (ES10/20) OR rosuvastatin 10 mg (R10),doubling the statin dose
7017,3806618,insulin production - new-onset type 1 diabetes (T1D),teplizumab,control
7020,3806618,drop in C-peptide AUC - new-onset type 1 diabetes (T1D),teplizumab,control
7021,4862081,maltase activity of fetus,high fat diets (HF diet),control
7022,4862081,fetal weight at d 90 of gestation,high fat diets (HF diet),control
7025,4862081,lactase activity of fetus,high fat diets (HF diet),control
7026,5349672,nausea ratings at movement at T60,blindfolded,eyes open
7028,5349672,nausea ratings at movement at T0,blindfolded,eyes open
7030,5560514,pain reduction up to 3 weeks in patients with knee osteoarthritis - anteromedial subgroup, Monovisc,saline
7031,5560514,improvement in function at 1 week in patients with knee osteoarthritis - anteromedial subgroup, Cingal,saline
7034,4385682,similar reduction in plaque,B. dracunculifolia,other mouthwashes
7036,4385682,efficacy in the reduction of dental biofilm after one week,B. dracunculifolia,other mouthwashes
7037,4385682,preliminary time plaque index (PI),B. dracunculifolia,other mouthwashes
7040,4882797,fever,Pakistan,other sites
7042,4882797,chorioamnionitis,Pakistan,other sites
7044,3050701,improvements in swallowing,AMC/DCBA Warm lozenge,"unflavoured, non-medicated lozenge"
7047,3050701,changes from baseline in throat soreness between 1 and 20 minutes,AMC/DCBA Cool lozenge,"unflavoured, non-medicated lozenge"
7049,3135864,Depression scores,intervention group (craniosacral therapy),placebo group (simulated treatment with disconnected ultrasound)
7057,4631431,Moderate AEs,IV ibuprofen,placebo
7059,4566202,distributions of the MRI variables of interest,rest group,exercise group
7063,2995234,Mild abdominal discomfort in patients with respiratory tract infection receiving antibiotics, Lactobacillus (Lacidofil® cap),placebo
7064,2995234,Antibiotic-associated diarrhea (AAD) in patients with respiratory tract infection,Lactobacillus (Lacidofil® cap),placebo
7069,5065057,responders achieving ≥50% pain reduction,buprenorphine HCl buccal film - BBUP group,placebo group
7072,5065057,responders achieving ≥30% pain reduction,buprenorphine HCl buccal film - BBUP group,placebo group
7073,5065057,Pain control sensitivity analyses,buprenorphine HCl buccal film - BBUP group,placebo group
7075,3649350,severe and moderate pain,"group A, who were allowed to observe DJ stent insertion","group B, who were NOT allowed to observe DJ stent insertion"
7076,3649350,pulse rate before the procedures,"group A, who were allowed to observe DJ stent insertion","group B, who were NOT allowed to observe DJ stent insertion"
7079,5354681,expression of genes involved in wound healing and inflammation,300 μg selenium per day,placebo
7080,5354681,Baseline levels of toenail selenium ,300 μg selenium per day,placebo
7081,5354681,serum selenium levels after intervention,300 μg selenium per day,placebo
7082,5354681,Baseline levels of serum selenium ,300 μg selenium per day,placebo
7083,5354681,effect of selenium on the epithelial-to-mesenchymal transition (EMT),300 μg selenium per day,placebo
7084,4803206,JDA membership associatIon with changes in participants' body weight,JDA membership,no JDA membership
7085,4803206,Changes in body weight,routine counseling group,non-routine counseling group
7086,4803206,relationship between RD expertise indicators and the magnitude of weight loss of the study participants,routine counseling group,non-routine counseling group
7090,3208043,Pain relief at 2h - menstrually related migraine,frovatriptan,rizatriptan
7096,5776520,NIHSS and AVLT scores recovery,propofol + remifentanil,dexmedetomidine 
7097,5593818,incidence of adverse events,"JinqiJiangtang tablets (JQJT tablets, a traditional Chinese patent medicine)",placebo
7099,5593818,probability of achieving normalized blood glucose,"JinqiJiangtang tablets (JQJT tablets, a traditional Chinese patent medicine)",placebo
7102,3517358,Fever Without Source (FWS) topic,"relevant computer tutorial = ""in sequence""","non-relevant tutorial = ""out of sequence"""
7103,3517358,post-test scores,"relevant computer tutorial = ""in sequence""","non-relevant tutorial = ""out of sequence"""
7106,3517358,Oral Rehydration Solutions (ORS) topic,"relevant computer tutorial = ""in sequence""","non-relevant tutorial = ""out of sequence"""
7107,2474851,AUC for predicting prostate cancer at biopsy,Clinical full model,Clinical base model
7109,5358282,Periprocedural pain perception,Diazepam + chlorpheniramine,Control
7111,5358282,Local pain,Diazepam + chlorpheniramine,Control
7113,5358282,Catheter-induced spasms,Diazepam + chlorpheniramine,Control
7115,5358282,Significant adverse reactions ,Diazepam + chlorpheniramine,Control
7116,3233513,FEV1 60-min increase,Formoterol 4.5 μg,Placebo
7117,3233513,FEV1 60-min increase,Formoterol 9 μg,Placebo
7118,3233513,St George's Respiratory Questionnaire score improvement ,Formoterol 9 μg,Placebo
7120,3233513,Use of salbutamol as reliever ,Formoterol 9 μg,Placebo
7122,3233513,Adverse events ,Formoterol 9 μg,Placebo
7124,4210064,Achieving target HbA1c,Combining nateglinide + vildagliptin,Switching from nateglinide to vildagliptin
7126,4210064,Fasting glucose,Combining nateglinide + vildagliptin,Switching from nateglinide to vildagliptin
7127,4210064,AUC 0–180 min glucose,Combining nateglinide + vildagliptin,Switching from nateglinide to vildagliptin
7130,4662763,Shear bond strength,pH 3.8 saliva ,pH 5.8 saliva
7133,4662763,Shear bond strength,pH 6.8 saliva,pH 4.8 saliva
7135,2500197,Mean number of new sexual topics discussed,Parent-adolescent communication program ,Control 
7136,2500197,Condom usage review ,Parent-adolescent communication program ,Control 
7140,2984512,Diametral tensile strength after 5 minutes,Fast set Temphase,Luxatemp
7141,2984512,Diametral tensile strength after 5 minutes,Protemp 3 Garan,Fast set Temphase
7145,5976903,Analgesics side effects,Pectoral nerve block type II ,Control
7150,4296330,Frequency of attempts ,i–gelTM,Laryngeal mask airway
7151,4296330,Displacement for adequate ventilation,i–gelTM,Laryngeal mask airway
7153,4296330,Airway leak,i–gelTM,Laryngeal mask airway
7155,2966708,IL-6 levels ,Laparoscopic hysterectomy,Abdominal hysterectom
7156,2966708,C-reactive protein ,Laparoscopic hysterectomy,Abdominal hysterectom
7157,2966708,Hospital stay,Laparoscopic hysterectomy,Abdominal hysterectom
7159,5762262,Hemoglobin after 12 months,Multivitamins,Zinc
7160,5762262,Hemoglobin after 18 months,Multivitamins,Zinc
7161,5762262,Hemoglobin after 18 months,Multivitamins,Placebo
7163,5762262,Hemoglobin after 18 months,Zinc,Zinc + multivitamin 
7167,4858101,Change in signs,Mitoxantrone,Carboplatin
7168,4858101,Median survival time ,Mitoxantrone,Carboplatin
7171,4826692,Favorable prognosis,Nao-Xue-Shu oral liquid,Control
7173,4826692,IL-6 levels,Nao-Xue-Shu oral liquid,Control
7175,4893238,Cryer score,Rebamipide,Placebo
7178,3880665,Body mass ,Moderate intensity aerobic exercise,Control
7180,3880665,Body fat percentage,Moderate intensity aerobic exercise,Control
7182,3880665,Fasting glucose,Moderate intensity aerobic exercise,Control
7183,3880665,Insulin resistance,Moderate intensity aerobic exercise,Control
7186,5136709,Body mass index ,FIFA 11 for Health' programme,Control
7189,5136709,Yo-Yo intermittent recovery level 1 results,FIFA 11 for Health' programme,Control
7191,4969326,EQ-5D mobility improvement ,Naloxegol ,Control
7195,4969326,EQ-5D Anxiety/depression improvement ,Naloxegol ,Control
7200,3140921,End-extinction head velocity,Mid-ramp extinction ,Short-ramp extinction
7206,4336131,50% of the target enteral nutrition speed,Rikkunshito ,Metoclopramide
7209,4336131,Portion of enteral nutrition,Rikkunshito ,Metoclopramide
7211,4336131,Desacyl ghrelin levels ,Rikkunshito ,Metoclopramide
7212,5889380,Test performance ,Hypothetico-deduction condition,Self-explanation condition
7214,3227609,Daily stool frequency,Oligosaccharides Prebiotic Formula,Regular formula
7216,3227609,Stool consistency,Oligosaccharides Prebiotic Formula,Regular formula
7218,3227609,Serious adverse events ,Oligosaccharides Prebiotic Formula,Regular formula
7219,3898378,Receiving ≥ 4 antenatal care visits,Mobile phone intervention,Standard care
7223,3898378,Preventive malaria treatment ,Mobile phone intervention,Standard care
7229,5358738,Episiotomy,Simulation and team-training program,Control
7231,5881763,Inflammatory Bowel Disease Questionnaire improvement (Induction 2),Tofacitinib 10 mg,Placebo
7232,5881763,IBDQ least squares mean changes from baseline ,Tofacitinib 10 mg,Placebo
7233,5881763,IBDQ least squares mean changes from baseline ,Tofacitinib 5 mg,Placebo
7234,5881763,Remission ,Tofacitinib 10 mg,Placebo
7235,5881763,Response ,Tofacitinib 10 mg,Placebo
7236,4359791,Performance,Sniffin' Sticks test,Pennsylvania Smell Identification Test
7241,4867750,Parenting warmth improvement ,Parent Training Intervention,Control
7243,4867750,Parenting stress,Parent Training Intervention,Control
7244,4867750,Intensity of child behavior problems,Parent Training Intervention,Control
7245,4867750,Follow through on discipline ,Parent Training Intervention,Control
7246,4867750,Parenting self-efficacy ,Parent Training Intervention,Control
7247,4877819,Fatigue Severity Scores,Andrographis paniculata,Placebo
7248,4877819,Relapse rate,Andrographis paniculata,Placebo
7250,4877819,Inflammatory parameters,Andrographis paniculata,Placebo
7251,4889193,Hypotension,Rapid uptitration,Prolonged uptitration
7252,4889193,Symptomatic hypotension,Rapid uptitration,Prolonged uptitration
7253,4889193,Renal function,Rapid uptitration,Prolonged uptitration
7254,4889193,Captopril doses,Rapid uptitration,Prolonged uptitration
7256,4889193,Achieving optimal ACE inhibitors doses,Rapid uptitration,Prolonged uptitration
7257,3653258,Systolic blood,Commercial citrus sinensis juice,Natural citrus sinensis juice
7258,3653258,Diastolic blood,Commercial citrus sinensis juice,Natural citrus sinensis juice
7260,3132856,Meteorism in IBS-Mixed,Mesalazine ,Control
7263,3132856,Pain duration on IBS-Constipation ,Mesalazine ,Control
7266,4354356,Subjective feelings of sedation,Heroin,Placebo
7267,4354356,Subjective feelings of intoxication ,Heroin,Placebo
7269,5381869,Countermovement velocity,Active anodal tsDCS,Sham tsDCS
7273,5381869,Total work,Active anodal tsDCS,Sham tsDCS
7275,4126186,5-hydroxy-vitamin D levels,Atorvastatin,Rosuvastatin
7277,4126186,Total cholesterol ,Atorvastatin,Rosuvastatin
7279,4126186,High-density lipoprotein,Atorvastatin,Rosuvastatin
7281,2291568,Weight gain in underweight children ,Albendazole,Control
7283,2291568,Weight gain in stunted children ,Albendazole,Control
7284,2291568,Weight gain in non-stunted children ,Albendazole,Control
7287,3635879,Probability of identifying 3 out of 5 ECG diagnoses,Summative assessments,Formative assessments
7288,3635879,Probability of self-studying 2 h/week extra ,Summative assessments,Formative assessments
7294,3479017,Systolic blood pressure ,Comprehensive lifestyle intervention,Control
7295,3479017,Diastolic blood pressure ,Comprehensive lifestyle intervention,Control
7298,2759981,Epidural analgesia,Natural childbirth preparation,Standard antenatal education
7303,4112798,Overall survival,Erlotinib ,Placebo 
7304,4112798,Grade 3/4 adverse event ,Erlotinib ,Placebo 
7307,3253463,P300 amplitude,Zingiber officinale 800 mg,Control
7309,3253463,P300 latency ,Zingiber officinale 800 mg,Control
7313,3134103,Blood loss after 2 days,N-acetylcysteine,Control
7314,3134103,Blood loss after 3 days,N-acetylcysteine,Control
7315,3134103,First postopertive PT time,N-acetylcysteine,Control
7317,3134103,Lowest hematocrit ,N-acetylcysteine,Control
7318,554986,Time for removal of dressing,Virtual reality game,Control
7319,554986,Time for application of fresh dressing,Virtual reality game,Control
7320,4269544,Heart rate during induction ,Fentanyl + nitroglycerin,Fentanyl 
7321,4269544,Heart rate at intubation ,Fentanyl + nitroglycerin,Fentanyl 
7324,4269544,Systolic blood pressure 10 min after intubation ,Fentanyl + nitroglycerin,Fentanyl 
7325,4269544,Diastolic blood pressure,Fentanyl + nitroglycerin,Fentanyl 
7327,2785868,Hip fracture frequency,Risedronate 5 mg,Placebo
7331,3349215,Overall complications ,Linear-polarized near-infrared light irradiation,Control
7333,3017961,Decrease in Tamas,Yoga,Regular exercise 
7337,4914255,Set-Shifting cognitive flexibility task,D-serine,Control
7341,3822756,Bradykinin,Ramipril ,Candesartan
7342,3822756,Tissue-type plasminogen activator,Ramipril ,Candesartan
7343,3822756,Need of plasma transfusion,Ramipril ,Placebo
7346,3822756,Interleukin-6,Candesartan,Placebo
7349,2752780,Hamilton Rating Scales for Anxiety,Biofeedback ,Control
7352,4265247,Urinary isoflavone levels,Oral supplement 1,Placebo
7353,4265247,Urinary isoflavone levels,Oral supplement 2,Placebo
7354,4265247,Daidzein excretion,Oral supplement 1,Oral supplement 2
7355,4265247,Genistein excretion,Oral supplement 1,Oral supplement 2
7361,4834398,Self-confidence,Acupuncture ,Sham control
7363,4834398,Skin conductance,Acupuncture ,Acupuncture wait-list control
7366,3533739,number of times salicylic acid was applied,salicylic acid,"cryotherapy, no treatment preference"
7368,3785381,"vitality (VT), physical functioning (PF), role limitation due to physical problems (RP), role limitation due to emotional problems (RE), and mental health (MH) ","(group C), had to receive patient-centered counseling throughout the hospitalization",baseline
7370,3785381,PF,"group NC), receiving the analgesic treatment without receiving counseling",baseline
7374,3785381,pain levels,"(group C), had to receive patient-centered counseling throughout the hospitalization","(group NC), receiving the analgesic treatment without receiving counseling"
7376,3307993,responder rate in the subgroup of patients with gastroenteritis or antibiotics prior to irritable bowel syndrome onset,Escherichia coli Nissle 1917 (EcN),baseline
7379,3379583,mean fasting plasma glucose (FPG),insulin (detemir),control
7380,3379583,Self-measured plasma glucose levels,insulin (detemir),control
7383,4166083,Agitation score,propofol-lidocaine [PL],"propofol-saline [PS], thiopental sodium-lidocaine [TL]"
7385,4166083,Agitation incidence,thiopental sodium-saline [TS],"propofol-saline [PS], thiopental sodium-lidocaine [TL] propofol-lidocaine [PL]"
7386,4166083,laryngospasm,thiopental sodium-saline [TS],"propofol-saline [PS], thiopental sodium-lidocaine [TL] propofol-lidocaine [PL]"
7387,5467351,improvement in height,three injections per week (TIW) growth hormone treatment (GHT),daily GH treatment (GHT)
7391,4168417,effect on BBS score,"telerehabilitation (Tele), conventional therapy (Conv)",baseline
7392,4168417,effect on BBS score,telerehabilitation (Tele),conventional therapy (Conv)
7393,4168417,mobility,telerehabilitation (Tele),conventional therapy (Conv)
7395,4168417,System Environment Satisfaction and Perceived Satisfaction of System,telerehabilitation (Tele),conventional therapy (Conv)
7396,3021887,weight,rimonabant 20 mg,placebo
7397,3021887,HDL-cholesterol,rimonabant 20 mg,placebo
7398,3021887,triglyceride levels,rimonabant 20 mg,placebo
7399,3021887,The mean waist circumference,rimonabant 20 mg,placebo
7400,3021887,treatment-emergent adverse events (TEAEs),rimonabant 20 mg,placebo
7402,5968838,suturing time,'baseball' suture technique,standard suture method
7405,4946773,number of relapses,smoking cigarettes,no smoking cigarettes
7407,5416724,Intubation difficulty scale (IDS) score,AirtraqTM,"Macintosh, McCoyTM"
7408,5416724,Cormack-Lehane glottic view,AirtraqTM,"Macintosh, McCoyTM"
7409,5416724,heart rate and mean arterial blood pressures,Macintosh,"AirtraqTM, McCoyTM"
7412,5214464,Maximal oxygen uptake (VO2max),"Elevation Training Masks© (ETM) , without the mask",baseline
7413,4710971,General Movement Optimality Score,craniosacral therapy (IG),standard care (CG)
7416,4331314,Ventilator time and overall hospital stay,specially designed molding titanium clips,control
7417,4331314,ICU stay,specially designed molding titanium clips,control
7418,4917725,subscales on emotional and mental health and health change,Internet program—DirectLife (Philips),no intervention
7419,5346199,systolic blood pressure,"Group 1 had the integrated care model including a multidisciplinary team and continuous care coordination, Group 2 had both the integrated care model and provider-level financial incentives,",the control group had the usual care
7423,4119301,oral health related quality of life,alginate impressions,silicone impressions
7425,4119301,taste,alginate impressions,silicone impressions
7430,4339160,muscle thickness,Group I - control,baseline
7431,4339160,Maximal voluntary isometric contraction (MVIC),Group I - control,baseline
7436,4212559,2 h plasma glucose and the glucose the area under the curve (AUC) - among participants with baseline HbA1c≥5.7%,intensive lifestyle intervention group (ILG),usual care group (UCG)
7437,4212559,fasting plasma glucose (FPG) and HbA1c,intensive lifestyle intervention group (ILG),usual care group (UCG)
7438,3515466,mental component score of the Short Form 36 (SF-36) questionnaire,"singing classes, film club",baseline
7440,3515466,"measures of breathing control, functional exercise capacity or daily physical activity",singing classes,film club
7442,4744782,negative mood and anxiety,"a 14‐week behavioral intervention using video instructional materials, workbook and telephone coaching in behavioral management, pleasant events scheduling, and relaxation",baseline
7443,4744782,caregiving self‐efficacy,"a 14‐week behavioral intervention using video instructional materials, workbook and telephone coaching in behavioral management, pleasant events scheduling, and relaxation",baseline
7447,4335628,homocysteine (Hcy) levels,(2) an experimental group trained at a heart rate intensity corresponding to ventilatory threshold 1 (VT-1) for 60 min/day 3 times weekly on alternate days for 6 months using a cycle ergometer,baseline
7451,1550608,incidence of asthma,questionnaires online,mailed paper-and-pencil versions
7452,1550608,shortness of breath,questionnaires online,mailed paper-and-pencil versions
7453,1550608,higher levels of asthma,questionnaires online,mailed paper-and-pencil versions
7459,5594766,The mean heart rate,"pregabalin 150, gabapentin 900mg",clonidine 200 μg
7462,2845036,The geometric mean C-peptide AUC at 2 years,mofetil (MMF) alone or with daclizumab (DZB),placebo
7471,3087256,Pain,"Group I received lignocaine 1% (9ml) with normal saline (1ml), group II lignocaine1% (9ml) with neostigmine 100μg in saline (1ml) and group III received lignocaine 1% (9ml) with neostigmine 200μg in NS (1ml)",baseline
7472,3087256,sedation score after 3hrs,group II lignocaine1% (9ml) with neostigmine 100μg in saline (1ml) and group III received lignocaine 1% (9ml) with neostigmine 200μg in NS (1ml),"Group I received lignocaine 1% (9ml) with normal saline (1ml), "
7473,3087256,sedation score after 3hrs,group II lignocaine1% (9ml) with neostigmine 100μg in saline (1ml) ,group III received lignocaine 1% (9ml) with neostigmine 200μg in NS (1ml)
7476,4804276,The total and LDL cholesterol,nutraceutical combination (NC),no active treatment (noNC)
7483,5241452,H. pylori-positive rate,group A (Rapid urease test (RUT) plus noninvasive tests),group B (only noninvasive tests)
7484,5241452,"The detection rates of H. pylori infection with each single biopsy taken from site 1, site 2 , and site 3",group A (Rapid urease test (RUT) plus noninvasive tests),baseline
7486,5521936,wound surface area (WSA),Moist Exposed Burn Ointment (MEBO),placebo
7487,5521936,pressure ulcer scale for healing (PUSH) tool,Moist Exposed Burn Ointment (MEBO),placebo
7488,5521936,healing status of pressure ulcers,Moist Exposed Burn Ointment (MEBO),placebo
7489,5521936,adverse effects,Moist Exposed Burn Ointment (MEBO),placebo
7490,3961020,"heart rate (HR) , Systolic BP (SBP), saturation of peripheral oxygen(SpO2) , end-tidal carbon dioxide (ETCO2) and Diastolic BP","Group I - alfentanil, Group II - fentanyl ",Group III - sufentanil
7491,3268925,Locoregional disease-free survival,breast conserving surgery (BCS),mastectomy
7492,4840766,"height, weight and bone age",recombinant human growth hormone (rhGH) 0.1,recombinant human growth hormone (rhGH) 0.05 U/kg 
7494,4840766,insulin-like growth factor-1 (IGF-1),recombinant human growth hormone (rhGH) 0.1,recombinant human growth hormone (rhGH) 0.05 U/kg 
7502,3730064,The corneal neovascularization (NV) area,2.5 mg of bevacizumab (group 1),1 mg of ranibizumab (group 2)
7503,5820800,telomere length,parenteral nutrition (PN) (early PN),withholding PN for one week in PICU (late PN)
7693,3775167,LDL cholesterol,Clopidogrel ,Low-dose aspirin
7694,3775167,Serum urea,Clopidogrel ,Low-dose aspirin
7695,3775167,High sensitivity C-reactive protein ,Clopidogrel ,Low-dose aspirin
7698,5518918,Healthcare costs,Home-based training with telemonitoring,Centre-based training
7699,5518918,PeakVO2 ,Home-based training with telemonitoring,Centre-based training
7703,5413468,Proportion of prevented signals on second series ,Unsolvable task,Control
7710,5056957,Weight and BMI reduction at 12 months,Multi-component physical activity ,Usual PE and sport programmes
7711,5056957,BMI z-score at 12months,Multi-component physical activity ,Usual PE and sport programmes
7712,5056957,Weight and BMI reduction at 24 months,Multi-component physical activity ,Usual PE and sport programmes
7714,4085197,"Baseline characteristics, except for scaphoid bone",Kaltenborn mobilization therapy,Placebo therapy
7716,4085197,"Pressure pain thresholds at the thumb CMC joint, scaphoid bone and hamate bone",Kaltenborn mobilization therapy,Placebo therapy
7718,4261896,Eye examination rates,Printed educational materials,No intervention
7722,4332717,Incidence of grade II-IV acute GVHD at 180 days,Fludarabine plus 2 Gy total body irradiation (Flu-TBI arm),8 Gy TLI + anti-thymocyte globulin (TLI-ATG arm)
7724,4332717,Incidence of relapse/progression at four years,Fludarabine plus 2 Gy total body irradiation (Flu-TBI arm),8 Gy TLI + anti-thymocyte globulin (TLI-ATG arm)
7730,5946268,Reduction in radiation-induced diarrhea,Supplemental Se,Control patients
7731,5946268,10-year overall survival rate and 10-year disease free survival rate,Supplemental Se,Control patients
7734,5380284,Pain scores 48 hours after the surgery,Gum-chewing group,No gum group
7742,5897859,Baseline characteristics,Vonoprazan 10 and 20 mg,Lansoprazole 15 mg
7746,2818614,Changes in receptor activator of nuclear factor-kappaB ligand (RANKL) after 1 year,Vitamin D3 40.000 IU (DD group) or Vitamin D3 20.000 IU (DP group),Placebo (PP group)
7747,2818614,Rate of adverse events,Vitamin D3 40.000 IU (DD group) or Vitamin D3 20.000 IU (DP group),Placebo (PP group)
7752,4990278,Thickening of subfoveal choroid during the recovery period,Hyperopic defocus group ,Myopic defocus group 
7758,3292461,Improvement in physical activity and energy expenditure,12 week physical activity tailored program,Routine postpartum care
7761,3292461,Improvement in waist circumference and hip circumference,12 week physical activity tailored program,Routine postpartum care
7763,2900076,Baseline characteristics,Tranexamic acid,Placebo
7766,2900076,Deep vein thrombosis,Tranexamic acid,Placebo
7767,4552663,Baseline characteristics,Oral carbohydrate group or oral rehydration solution group,Control group
7769,4552663,Vasopressor use during the surgery,Oral carbohydrate group or oral rehydration solution group,Control group
